iter	RMSE
0	4.772983792
1	4.451906327
2	4.164509514
3	3.911664261
4	3.687140753
5	3.497453976
6	3.327378528
7	3.179977657
8	3.05407783
9	2.944956494
10	2.839663021
11	2.757163913
12	2.681273462
13	2.61461781
14	2.556222702
15	2.506581429
16	2.463728121
17	2.420294462
18	2.384473368
19	2.351887602
20	2.323446942
21	2.290163521
22	2.26223277
23	2.242082754
24	2.224625455
25	2.199655672
26	2.177214786
27	2.151049325
28	2.126301117
29	2.107599121
30	2.090909007
31	2.069931751
32	2.057795342
33	2.047790118
34	2.034483371
35	2.014073728
36	1.998365887
37	1.98489113
38	1.969495496
39	1.953080158
40	1.937925092
41	1.928004466
42	1.921447983
43	1.904650874
44	1.893818805
45	1.876123302
46	1.863663289
47	1.852195328
48	1.844601542
49	1.834735876
50	1.82568889
51	1.81234596
52	1.800043208
53	1.788754389
54	1.779968277
55	1.77272504
56	1.764145409
57	1.755246854
58	1.747586067
59	1.735677756
60	1.726974586
61	1.719827169
62	1.71301649
63	1.700991725
64	1.690091156
65	1.683475136
66	1.676543093
67	1.67015297
68	1.663260222
69	1.651345467
70	1.646852929
71	1.641974761
72	1.631502996
73	1.61984353
74	1.612429201
75	1.60155992
76	1.591681245
77	1.584926097
78	1.573936882
79	1.56871258
80	1.563234228
81	1.554543927
82	1.546342897
83	1.539649094
84	1.533118898
85	1.528991824
86	1.520725288
87	1.514990884
88	1.507903708
89	1.502362514
90	1.496795298
91	1.488525717
92	1.479150457
93	1.468151948
94	1.464432603
95	1.461178815
96	1.452351423
97	1.446124026
98	1.439016827
99	1.432592374
