iter	Passed	Remaining
0	72	7174
1	134	6600
2	195	6307
3	254	6105
4	314	5967
5	376	5903
6	437	5816
7	499	5747
8	562	5690
9	625	5629
10	687	5561
11	747	5482
12	811	5433
13	872	5362
14	933	5290
15	993	5218
16	1052	5137
17	1113	5071
18	1177	5021
19	1238	4952
20	1298	4885
21	1358	4815
22	1424	4768
23	1488	4713
24	1548	4644
25	1610	4584
26	1671	4518
27	1734	4460
28	1795	4395
29	1856	4331
30	1916	4265
31	1976	4199
32	2036	4134
33	2096	4070
34	2158	4007
35	2219	3945
36	2281	3884
37	2341	3819
38	2404	3760
39	2467	3701
40	2529	3640
41	2590	3577
42	2650	3513
43	2710	3450
44	2772	3388
45	2834	3327
46	2895	3265
47	2958	3205
48	3020	3144
49	3084	3084
50	3154	3030
51	3214	2967
52	3281	2910
53	3351	2854
54	3417	2796
55	3482	2736
56	3543	2673
57	3605	2611
58	3672	2552
59	3740	2493
60	3835	2452
61	3928	2407
62	4015	2358
63	4089	2300
64	4162	2241
65	4244	2186
66	4323	2129
67	4395	2068
68	4468	2007
69	4555	1952
70	4640	1895
71	4713	1833
72	4790	1771
73	4862	1708
74	4934	1644
75	5008	1581
76	5114	1527
77	5188	1463
78	5248	1395
79	5307	1326
80	5366	1258
81	5431	1192
82	5493	1125
83	5552	1057
84	5613	990
85	5672	923
86	5734	856
87	5796	790
88	5854	723
89	5914	657
90	5976	591
91	6048	525
92	6111	459
93	6179	394
94	6239	328
95	6300	262
96	6362	196
97	6422	131
98	6487	65
99	6547	0
