iter	MultiRMSE
0	3.849586721
1	3.796261718
2	3.748818429
3	3.681143874
4	3.630623466
5	3.579822483
6	3.52318094
7	3.465926654
8	3.420478612
9	3.3792785
10	3.330021441
11	3.288908478
12	3.24409688
13	3.192289293
14	3.158529145
15	3.114919915
16	3.067879779
17	3.043530222
18	3.00380293
19	2.967536807
20	2.9278779
21	2.896774305
22	2.86944381
23	2.835993763
24	2.815938603
25	2.789257844
26	2.755300372
27	2.726710716
28	2.697307755
29	2.670388996
30	2.654042024
31	2.621144345
32	2.600976784
33	2.575193151
34	2.554037656
35	2.525054908
36	2.502809843
37	2.482081809
38	2.45389642
39	2.425870601
40	2.404808199
41	2.385300193
42	2.368553522
43	2.339542127
44	2.315357736
45	2.293146835
46	2.271438893
47	2.247110424
48	2.225712353
49	2.216527718
50	2.192360305
51	2.173516403
52	2.155317731
53	2.133595927
54	2.114852372
55	2.097318504
56	2.078800508
57	2.062208767
58	2.043577036
59	2.023075411
60	2.00634066
61	1.988715684
62	1.977856313
63	1.962564864
64	1.942950602
65	1.931565705
66	1.913984453
67	1.898787533
68	1.889419209
69	1.871312681
70	1.85667
71	1.844871379
72	1.828629456
73	1.812245098
74	1.797627744
75	1.781920827
76	1.764667911
77	1.750233457
78	1.73451991
79	1.721376355
80	1.70901667
81	1.693363445
82	1.678317044
83	1.663778289
84	1.649207741
85	1.635782124
86	1.625245387
87	1.616037384
88	1.601913121
89	1.58804959
90	1.579809813
91	1.568552536
92	1.556741885
93	1.543211301
94	1.52701341
95	1.515342474
96	1.500073412
97	1.488797771
98	1.475858915
99	1.464466092
100	1.449485091
101	1.435167331
102	1.422638022
103	1.410737326
104	1.398225889
105	1.387054327
106	1.373382089
107	1.36353101
108	1.349098414
109	1.339052252
110	1.327027336
111	1.314407682
112	1.308540587
113	1.294878955
114	1.283995244
115	1.274491627
116	1.261721822
117	1.251414721
118	1.245731807
119	1.240188816
120	1.234838762
121	1.229565211
122	1.218283093
123	1.212827496
124	1.199553772
125	1.187366364
126	1.180674591
127	1.170245439
128	1.166829675
129	1.162767154
130	1.151401314
131	1.13854716
132	1.13493416
133	1.122759629
134	1.110481929
135	1.098051337
136	1.089095625
137	1.077792343
138	1.066937039
139	1.063955781
140	1.060464171
141	1.05313549
142	1.041989185
143	1.031080012
144	1.02089812
145	1.011435067
146	1.0091314
147	1.006554604
148	0.9963721882
149	0.9938958664
150	0.9876872913
151	0.9783834344
152	0.9719273067
153	0.9629465761
154	0.952112557
155	0.947232875
156	0.9370843127
157	0.9280339763
158	0.9199369781
159	0.9108376269
160	0.9027849905
161	0.8946843155
162	0.8859030864
163	0.8813421603
164	0.8767596839
165	0.8747523201
166	0.8726276426
167	0.8637470775
168	0.8553259056
169	0.8471518505
170	0.8383049625
171	0.8304123079
172	0.8279328784
173	0.8207209504
174	0.8137213624
175	0.811711703
176	0.8035712169
177	0.7966783186
178	0.7886327872
179	0.7808344368
180	0.7785851837
181	0.7715570406
182	0.7689607699
183	0.7647002272
184	0.7613257195
185	0.7588415141
186	0.7526433601
187	0.7462535635
188	0.7386643261
189	0.7362591177
190	0.7335996323
191	0.730842762
192	0.7235774535
193	0.7161123301
194	0.7145567776
195	0.7078820134
196	0.700779766
197	0.6933298024
198	0.6861936416
199	0.6799859952
200	0.6738227855
201	0.6720276454
202	0.6666069179
203	0.6649525531
204	0.6603427287
205	0.6538437985
206	0.6518061905
207	0.6449120637
208	0.6410675971
209	0.6395113863
210	0.6350608268
211	0.629119942
212	0.6234282158
213	0.6202946529
214	0.6143786094
215	0.6131854238
216	0.6113722406
217	0.6048795144
218	0.5983061992
219	0.5966457381
220	0.5912456549
221	0.5848916271
222	0.5798102256
223	0.5748054787
224	0.5691886656
225	0.564468369
226	0.5592192228
227	0.5544267637
228	0.5505348679
229	0.5484064469
230	0.5432453996
231	0.5392429275
232	0.5348864032
233	0.5319346466
234	0.5305248855
235	0.524934175
236	0.521333036
237	0.5157955842
238	0.5142731546
239	0.511439849
240	0.5065675781
241	0.5053745907
242	0.5020342222
243	0.4996915757
244	0.4956777814
245	0.4944488952
246	0.4934949809
247	0.490565886
248	0.4889165236
249	0.4840151915
250	0.4796328274
251	0.4756467585
252	0.4724320885
253	0.4712733539
254	0.4695538071
255	0.4651841119
256	0.4611281769
257	0.4570329244
258	0.452466977
259	0.4482476132
260	0.4472443225
261	0.445002365
262	0.4416058712
263	0.4403535304
264	0.4372533661
265	0.4340415443
266	0.4300885215
267	0.4270273211
268	0.4261594553
269	0.4227316109
