iter	Passed	Remaining
0	2	1997
1	5	1794
2	7	1697
3	9	1638
4	11	1623
5	13	1614
6	16	1604
7	18	1577
8	20	1562
9	22	1546
10	24	1537
11	26	1531
12	28	1526
13	30	1518
14	32	1506
15	34	1498
16	36	1497
17	38	1490
18	40	1482
19	42	1473
20	44	1471
21	47	1465
22	49	1460
23	50	1453
24	52	1446
25	55	1444
26	57	1440
27	59	1436
28	61	1431
29	63	1427
30	65	1421
31	67	1419
32	69	1413
33	71	1419
34	74	1423
35	76	1420
36	76	1395
37	78	1388
38	80	1388
39	83	1388
40	85	1387
41	87	1385
42	89	1384
43	91	1382
44	93	1379
45	96	1387
46	98	1384
47	100	1381
48	102	1378
49	103	1361
50	105	1357
51	107	1355
52	109	1353
53	111	1353
54	113	1352
55	115	1348
56	118	1347
57	120	1346
58	122	1345
59	124	1342
60	126	1339
61	128	1337
62	130	1334
63	132	1332
64	134	1330
65	136	1327
66	138	1325
67	140	1322
68	142	1321
69	144	1319
70	146	1317
71	149	1316
72	151	1314
73	153	1312
74	155	1309
75	157	1306
76	159	1304
77	161	1302
78	163	1299
79	165	1299
80	167	1298
81	169	1297
82	172	1299
83	175	1301
84	177	1303
85	180	1303
86	182	1302
87	184	1301
88	186	1299
89	189	1298
90	191	1295
91	193	1293
92	195	1291
93	197	1290
94	199	1288
95	201	1286
96	203	1284
97	206	1282
98	208	1281
99	210	1279
100	212	1278
101	214	1277
102	217	1275
103	219	1274
104	221	1273
105	223	1271
106	225	1269
107	228	1267
108	230	1265
109	232	1264
110	234	1261
111	236	1258
112	238	1256
113	240	1253
114	242	1251
115	244	1248
116	246	1246
117	248	1243
118	250	1240
119	252	1237
120	254	1235
121	256	1232
122	258	1229
123	260	1226
124	262	1224
125	264	1221
126	266	1218
127	268	1216
128	270	1213
129	272	1211
130	274	1208
131	276	1207
132	278	1205
133	281	1204
134	283	1202
135	285	1199
136	287	1197
137	289	1195
138	291	1193
139	293	1191
140	295	1188
141	297	1186
142	299	1183
143	301	1180
144	303	1178
145	305	1176
146	307	1173
147	309	1171
148	311	1168
149	313	1167
150	316	1166
151	318	1165
152	320	1163
153	322	1160
154	324	1158
155	326	1156
156	328	1154
157	330	1151
158	332	1148
159	334	1146
160	336	1144
161	338	1141
162	340	1139
163	343	1137
164	345	1135
165	347	1133
166	349	1130
167	350	1128
168	353	1125
169	355	1123
170	357	1121
171	359	1119
172	360	1116
173	362	1113
174	365	1111
175	366	1109
176	368	1106
177	370	1104
178	372	1102
179	374	1099
180	376	1097
181	378	1095
182	380	1092
183	382	1090
184	384	1088
185	386	1086
186	388	1083
187	390	1081
188	392	1078
189	394	1076
190	396	1073
191	398	1071
192	400	1069
193	402	1067
194	404	1064
195	406	1062
196	409	1061
197	411	1060
198	413	1058
199	415	1056
200	417	1054
201	420	1052
202	422	1050
203	424	1048
204	426	1046
205	428	1043
206	430	1041
207	432	1039
208	434	1037
209	436	1035
210	438	1033
211	440	1030
212	442	1028
213	444	1025
214	446	1023
215	448	1021
216	450	1019
217	452	1016
218	454	1014
219	456	1013
220	458	1010
221	460	1008
222	462	1006
223	464	1004
224	466	1001
225	468	999
226	470	997
227	472	995
228	475	993
229	477	991
230	479	989
231	481	987
232	483	984
233	485	982
234	487	980
235	489	978
236	491	977
237	493	975
238	495	973
239	498	971
240	500	969
241	502	967
242	504	964
243	506	962
244	508	960
245	510	958
246	512	956
247	514	953
248	516	951
249	518	949
250	520	947
251	522	945
252	524	943
253	526	941
254	528	938
255	530	936
256	532	934
257	534	932
258	536	930
259	539	928
260	541	927
261	543	924
262	545	922
263	547	920
264	549	918
265	551	915
266	553	913
267	555	911
268	557	909
269	559	907
