Model,Overall_RMSE,Overall_MAE,Overall_R2,Train_Time_sec,Day1_RMSE,Day1_MAE,Day1_R2,Day2_RMSE,Day2_MAE,Day2_R2,Day3_RMSE,Day3_MAE,Day3_R2,Day4_RMSE,Day4_MAE,Day4_R2,Day5_RMSE,Day5_MAE,Day5_R2
CatBoost,2.2503442149728197,1.7575785762874645,0.8051201093024686,35.194123,1.5691423744127346,1.1726427132149575,0.907695432877931,2.163333867045314,1.6842773315571489,0.8245985911023637,2.458663480682799,1.9227071243444538,0.7734395179008028,2.539500433953425,2.0089857071317887,0.7582321911781187,2.5210809187698264,1.9992800051889725,0.7616348134531263
Random Forest,2.284125656731663,1.7829218899696553,0.7981451947587708,68.565734,1.529190289590172,1.172871896230253,0.9123359457465637,2.177715694042734,1.7101912334379858,0.8222587046475088,2.503059675714296,1.9710509511596488,0.7651836210473123,2.5877498010211064,2.0176909954340467,0.7489579576791079,2.622912823290007,2.0428043735863426,0.741989744673361
LightGBM,2.325335013816915,1.8131226185803713,0.7887756891623994,6.03689,1.482362317629743,1.1268797148331204,0.9176227629239497,2.1348084411162382,1.684073854912563,0.8291937327936696,2.533413834534536,1.9923030939016761,0.7594539361955708,2.689002403341707,2.103320342411585,0.7289282419390344,2.787088072462351,2.159036086842912,0.7086797719597724
XGBoost,2.362593705034269,1.8311299753941626,0.7832755639998373,24.914607,1.561716051557851,1.201408068247813,0.9085670700528944,2.193301404635157,1.7179685756842065,0.8197054443503438,2.5962065834764907,2.03929936095666,0.747381895121915,2.71945054405606,2.085439321608249,0.7227546811982062,2.7422939414457863,2.111534550473885,0.7179687292758274
Lasso Regression,2.537154435771678,1.988470996841486,0.754385663687817,4.271602,1.9053415885604725,1.4755025098493424,0.8639043692116337,2.4699672871289335,1.9260069358249488,0.77135148674079,2.7058198257240513,2.1209354090097725,0.7256002393896581,2.7890920970685844,2.1966256822408137,0.7083730861907622,2.8155513803763474,2.223284447282553,0.7026991369062408
SVR,2.754966115232371,2.176133061668708,0.713446429746313,11.077814,2.3230815729739254,1.8046836966939659,0.7976853143268181,2.70600548516325,2.132838588251299,0.7255625822973597,2.8652418756056224,2.2759083834887335,0.6923134171671631,2.925860850918275,2.32743075457278,0.6790708043844541,2.954640791500781,2.3398038853367624,0.67260003055577
Ridge Regression,2.94210116615434,2.211940619247218,0.6575977315543506,0.20306,1.7455868102289458,1.325466523096587,0.8857696803391943,2.6642792296209836,2.0247718464319826,0.733960907812196,3.1340812523127455,2.370794786380073,0.6318655317720434,3.486187883699912,2.610245486647462,0.5443792758251177,3.6803706549091144,2.728424453679986,0.49201326202320195
Linear Regression,3.096448876190572,2.303688946604738,0.6221642609483456,1.538625,1.8723033377152618,1.417405927540849,0.868583192788466,2.8375076773261636,2.1328682610564886,0.698241112776782,3.292092864987211,2.4667801948985475,0.5938091519290509,3.6404173424295636,2.683920033744138,0.5031740851559807,3.839923158494661,2.8174703157836682,0.44701376209144883
Decision Tree,3.265846175791485,2.481760349765539,0.5861626280841923,6.132311,2.18634888751542,1.6651251070766853,0.8208002413333988,2.9964559303533016,2.286597284154258,0.6634870602064433,3.617258778877544,2.7038623371718264,0.5096060115729335,3.8269856171633916,2.913350734948884,0.4509453781129934,3.7021816650477706,2.8398662854760417,0.4859744491951923
KNN,3.324432501076849,2.5550825682678724,0.5850447400714038,0.004159,3.085298214700815,2.35784650442499,0.6431441797166377,3.283645939878799,2.5285213899438697,0.5958909048225196,3.3910118419564994,2.6082429765613298,0.5690324292054285,3.427282193806187,2.636771036454402,0.5596463292699448,3.4349243150419455,2.6440309339547707,0.5575098573424885
